label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_HttpHostConnectException
,2.04212,0.00000,2.04228,295935,1,109,2.04219,0,109,2.01500,2.02200,2.07000,2.14000,2.40000,2.81400,2.81400,109
mas/CN,2.02200,0.00000,2.02250,5430,5,2,2.02048,0,2,2.02100,2.02100,2.02400,2.02400,2.02400,2.02400,2.02400,2
upm,2.06539,0.00000,2.06565,62445,5,23,2.06997,0,23,2.01500,2.02500,2.07000,2.14000,2.81400,2.81400,2.81400,23
pd,2.02000,0.00000,2.02000,8145,5,3,2.01798,0,3,2.01600,2.01900,2.02500,2.02500,2.02500,2.02500,2.02500,3
uu,2.03067,0.00000,2.03078,124890,1,46,2.02903,0,46,2.01500,2.02100,2.06600,2.08400,2.19000,2.19000,2.19000,46
pma/23,2.03733,0.00000,2.03767,8145,5,3,2.03608,0,3,2.02200,2.02300,2.06800,2.06800,2.06800,2.06800,2.06800,3
ur,2.02733,0.00000,2.02733,8145,5,3,2.02531,0,3,2.02700,2.02700,2.02800,2.02800,2.02800,2.02800,2.02800,3
wpm,2.05120,0.00000,2.05140,13575,5,5,2.05028,0,5,2.01600,2.02100,2.17400,2.17400,2.17400,2.17400,2.17400,5
cu,2.02000,0.00000,2.02000,5430,5,2,2.01798,0,2,2.02000,2.02000,2.02000,2.02000,2.02000,2.02000,2.02000,2
pma/1,2.02100,0.00000,2.02100,5430,5,2,2.01898,0,2,2.01800,2.01800,2.02400,2.02400,2.02400,2.02400,2.02400,2
u,2.02150,0.00000,2.02150,5430,5,2,2.01948,0,2,2.02100,2.02100,2.02200,2.02200,2.02200,2.02200,2.02200,2
pma/7,2.01950,0.00000,2.01950,10860,5,4,2.01748,0,4,2.01800,2.01800,2.02200,2.02200,2.02200,2.02200,2.02200,4
pma/4,2.15150,0.00000,2.15175,10860,5,4,2.15542,0,4,2.02200,2.02200,2.40000,2.40000,2.40000,2.40000,2.40000,4
id,2.02267,0.00000,2.02267,8145,5,3,2.02066,0,3,2.01700,2.01800,2.03300,2.03300,2.03300,2.03300,2.03300,3
cc,2.02200,0.00000,2.02250,5430,5,2,2.02048,0,2,2.01900,2.01900,2.02600,2.02600,2.02600,2.02600,2.02600,2
r/XX,2.04020,0.00000,2.04040,13575,5,5,2.03892,0,5,2.01900,2.02100,2.11600,2.11600,2.11600,2.11600,2.11600,5
